[0705/101902:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/102017:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/102645:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/102913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/104401:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/110440:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/115513:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/121000:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/135809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/135812:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/141138:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0705/170430:ERROR:file_io.cc(30)] read: expected 4, observed 0
